,model_name,n_models,workers_per_model,pipeline_size,batch_size,throughput_avg,throughput_peak,latency_ms_p0,latency_ms_p50,latency_ms_p90,latency_ms_p95,latency_ms_p99,latency_ms_p100,cpu_avg_percent,cpu_percent_p50,mem_avg_percent,mem_percent_p50,e2e_avg_ms,infer_avg_ms,total_infs,total_s,performance_level,model_filename,device_type,instance_type,cost_per_1m_inf
3,beit_neuron_ncp1_bs4.pt,4,2,1,4,154.296,160.0,146.884,207.408,207.477,207.505,207.618,257.283,26.833,19.0,27.133,29.7,207.427,207.412,17928,120.17,3,beit_neuron_ncp1_bs4.pt,neuron,inf1.2xlarge,0.652
3,beit_neuron_ncp1_bs5.pt,4,2,1,5,152.043,160.0,168.617,263.048,263.136,263.164,265.033,315.242,25.57,16.5,27.9,30.9,263.036,263.02,17650,120.26,3,beit_neuron_ncp1_bs5.pt,neuron,inf1.2xlarge,0.661
3,beit_neuron_ncp1_bs2.pt,4,2,1,2,148.517,152.0,89.32,107.476,107.531,109.487,113.626,146.243,31.735,28.7,23.7,25.7,107.719,107.705,17404,120.08,3,beit_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,0.677
3,beit_neuron_ncp1_bs3.pt,4,2,1,3,143.379,144.0,120.141,167.418,167.708,167.802,168.002,211.981,28.527,22.2,25.883,28.4,167.367,167.35,16761,120.11,3,beit_neuron_ncp1_bs3.pt,neuron,inf1.2xlarge,0.701
3,beit_neuron_ncp1_bs6.pt,4,2,1,6,142.33,162.0,199.363,339.132,345.174,351.388,354.579,396.981,24.735,14.5,30.1,32.8,336.923,336.908,16494,120.32,3,beit_neuron_ncp1_bs6.pt,neuron,inf1.2xlarge,0.706
1,beit_neuron_ncp1_bs5.pt,4,1,1,5,136.696,140.0,141.823,145.534,150.53,152.36,156.46,167.791,25.762,16.3,27.567,29.5,146.352,146.337,15875,120.12,3,beit_neuron_ncp1_bs5.pt,neuron,inf1.2xlarge,0.736
1,beit_neuron_ncp1_bs4.pt,4,1,1,4,133.426,140.0,115.694,119.157,123.965,125.323,129.265,141.487,26.972,19.1,25.912,28.5,119.987,119.972,15540,120.08,3,beit_neuron_ncp1_bs4.pt,neuron,inf1.2xlarge,0.754
1,beit_neuron_ncp1_bs6.pt,4,1,1,6,132.526,144.0,172.004,180.0,188.395,190.337,193.48,212.767,24.575,13.8,29.426,31.4,181.096,181.082,15294,120.16,3,beit_neuron_ncp1_bs6.pt,neuron,inf1.2xlarge,0.759
1,beit_neuron_ncp1_bs3.pt,4,1,1,3,127.474,132.0,89.955,93.57,97.371,98.675,101.668,119.175,29.142,23.4,24.71,27.1,94.081,94.066,14844,120.08,3,beit_neuron_ncp1_bs3.pt,neuron,inf1.2xlarge,0.789
3,beit_neuron_ncp1_bs1.pt,4,2,1,1,121.453,130.0,53.479,65.303,69.725,71.105,73.708,107.206,40.826,44.7,21.267,23.5,65.863,65.848,14280,120.05,3,beit_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,0.828
