,model_name,n_models,workers_per_model,pipeline_size,batch_size,throughput_avg,throughput_peak,latency_ms_p0,latency_ms_p50,latency_ms_p90,latency_ms_p95,latency_ms_p99,latency_ms_p100,cpu_avg_percent,cpu_percent_p50,mem_avg_percent,mem_percent_p50,e2e_avg_ms,infer_avg_ms,total_infs,total_s,performance_level,model_filename,device_type,instance_type,cost_per_1m_inf
0,beit_neuron_ncp1_bs1.pt,1,1,1,1,26.983,28.0,36.275,37.011,37.568,37.757,38.436,54.168,9.791,10.5,11.283,11.6,37.064,37.053,3160,120.01,3,beit_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,3.727
0,beit_neuron_ncp4_bs1.pt,1,1,4,1,25.129,26.0,38.733,39.71,40.461,40.682,41.363,53.382,10.519,10.0,12.5,12.9,39.805,39.793,2948,120.04,3,beit_neuron_ncp4_bs1.pt,neuron,inf1.2xlarge,4.002
1,beit_neuron_ncp4_bs1.pt,1,3,4,1,69.282,71.0,40.368,43.183,44.586,44.977,45.746,78.076,19.363,20.6,12.967,13.5,43.312,43.299,8157,120.04,3,beit_neuron_ncp4_bs1.pt,neuron,inf1.2xlarge,1.451
1,beit_neuron_ncp1_bs1.pt,4,1,1,1,92.991,95.0,38.441,42.668,45.231,46.227,49.433,65.017,41.573,47.9,20.564,22.1,42.962,42.949,10945,120.03,3,beit_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,1.081
2,beit_neuron_ncp1_bs1.pt,1,2,1,1,39.12,40.0,51.039,51.128,51.149,51.159,51.178,81.823,11.802,10.9,11.837,12.0,51.129,51.118,4612,120.03,3,beit_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,2.57
0,beit_neuron_ncp4_bs2.pt,1,1,4,2,31.19,32.0,63.071,64.041,64.755,65.026,65.587,77.918,9.57,6.5,12.867,13.5,64.136,64.124,3636,120.05,3,beit_neuron_ncp4_bs2.pt,neuron,inf1.2xlarge,3.224
0,beit_neuron_ncp1_bs2.pt,1,1,1,2,30.621,32.0,64.325,65.138,66.265,66.561,67.0,79.589,7.801,6.3,11.704,12.0,65.311,65.299,3586,120.05,3,beit_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,3.284
1,beit_neuron_ncp4_bs2.pt,1,3,4,2,88.362,90.0,64.7,67.866,69.087,69.842,72.112,114.59,14.107,13.2,13.183,13.9,67.935,67.923,10350,120.06,3,beit_neuron_ncp4_bs2.pt,neuron,inf1.2xlarge,1.138
3,beit_neuron_ncp1_bs1.pt,4,2,1,1,121.453,130.0,53.479,65.303,69.725,71.105,73.708,107.206,40.826,44.7,21.267,23.5,65.863,65.848,14280,120.05,3,beit_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,0.828
1,beit_neuron_ncp1_bs2.pt,4,1,1,2,116.793,120.0,65.24,68.249,70.38,71.238,73.334,88.398,32.027,29.8,22.463,23.4,68.507,68.494,13692,120.06,3,beit_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,0.861
